Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,USG%,TS%,PTS_per_TSA,FT_rate,3P_rate,AST_TO,TOV%,TRB%_approx,STL_per_min,BLK_per_min,STL%,BLK%,Raw_EFF,PF_per_min,Load,Creation_proxy,PTS_log,AST_log,TRB_log,STL_log,BLK_log,TOV_log
A.J. Green,24.0,56.0,0.0,11.0,1.5,3.5,0.423,1.2,3.0,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,2024,34.836331966970945,0.6194916864215682,1.2389833728431363,0.08571404081702623,0.8571404081702624,2.4998750062496873,5.219193060560906,9.999990909099175,0.01818180165290759,0.009090900826453795,1.818180165290759,0.9090900826453795,0.3818178347110593,0.08181810743808415,4.332,0.325,1.7047480922384253,0.4054651081081644,0.7419373447293773,0.18232155679395465,0.09531017980432487,0.18232155679395465
A.J. Green,23.0,35.0,1.0,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.6,0.45,0.6,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,2023,39.83834359763273,0.6037305056791831,1.2074610113583661,0.027777700617498284,0.8333310185249485,1.9999333355554814,7.60647158602539,13.13129986737387,0.020201999795959803,0.0,2.02019997959598,0.0,0.414140995817176,0.09090899908181911,4.544,0.34,1.6863989535702288,0.4700036292457355,0.832909122935104,0.18232155679395465,0.0,0.26236426446749106
A.J. Lawson,23.0,42.0,0.0,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1.0,1.7,0.577,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,2024,46.216153761954374,0.5128188691702911,1.0256377383405821,0.17241319857517734,0.4137916765804256,1.6666111129629013,8.771904175718785,16.216194302440133,0.02702699050406689,0.013513495252033445,2.7026990504066886,1.3513495252033443,0.4324318480650703,0.06756747626016722,3.92,0.26,1.4350845252893227,0.4054651081081644,0.7884573603642702,0.18232155679395465,0.09531017980432487,0.26236426446749106
A.J. Lawson,22.0,15.0,0.0,7.2,1.5,2.9,0.5,0.7,1.7,0.4,0.8,1.3,0.632,0.614,0.1,0.5,0.25,0.4,1.0,1.4,0.1,0.1,0.0,0.2,0.7,3.7,2023,46.111047067990185,0.5929468174781491,1.1858936349562983,0.17241319857517734,0.5862048751556029,0.4999750012499375,6.02407824072819,19.444417438309113,0.013888869598792226,0.0,1.3888869598792224,0.0,0.45833269676014327,0.09722208719154557,3.4200000000000004,0.20500000000000002,1.547562508716013,0.09531017980432487,0.8754687373538999,0.09531017980432487,0.0,0.18232155679395465
AJ Griffin,20.0,20.0,0.0,8.6,0.9,3.1,0.29,0.5,2.0,0.256,0.4,1.2,0.348,0.371,0.1,0.1,1.0,0.1,0.8,0.9,0.3,0.1,0.1,0.4,0.3,2.4,2024,41.209254407843716,0.3816781753238698,0.7633563506477395,0.03225796045819207,0.6451592091638414,0.7499812504687382,11.286649868369446,10.46510411034406,0.011627893455937843,0.011627893455937843,1.1627893455937843,1.1627893455937843,0.1395347214712541,0.03488368036781353,3.844,0.18,1.2237754316221157,0.26236426446749106,0.6418538861723948,0.09531017980432487,0.09531017980432487,0.33647223662121295
AJ Griffin,19.0,72.0,12.0,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,2023,42.60510635635571,0.5773215135943,1.1546430271886,0.0945944667642341,0.486485829073204,1.6666388893518442,7.221946049655694,10.769225246551155,0.03076921499014616,0.010256404996715388,3.076921499014616,1.0256404996715387,0.41538440236697316,0.06153842998029232,9.308,0.645,2.2925347571405443,0.6931471805599453,1.1314021114911006,0.4700036292457355,0.18232155679395465,0.4700036292457355
Aaron Gordon,25.0,50.0,50.0,27.7,4.6,10.0,0.463,1.2,3.5,0.335,3.4,6.5,0.533,0.522,1.9,3.0,0.651,1.5,4.1,5.7,3.2,0.7,0.7,1.9,1.8,12.4,2021,47.725614539489335,0.5477026963757099,1.0954053927514198,0.2999997000003,0.34999965000035,1.6842016620965155,14.372152517282514,20.57760989977982,0.025270748999729604,0.025270748999729604,2.5270748999729604,2.5270748999729604,0.5162453009944761,0.0649819259993047,16.419999999999998,1.2600000000000002,2.5952547069568657,1.4350845252893227,1.9021075263969205,0.5306282510621704,0.5306282510621704,1.0647107369924282
Aaron Gordon,28.0,73.0,73.0,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,7.9,0.619,0.584,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,2024,40.723796595620136,0.6081548756082642,1.2163097512165284,0.3775506351524131,0.19387735318637428,2.499982142984693,10.91361793450426,20.63491408415426,0.025396817334343704,0.019047613000757777,2.5396817334343704,1.9047613000757777,0.5809521965231123,0.060317441169066295,16.328,1.395,2.7013612129514133,1.5040773967762742,2.0149030205422647,0.5877866649021191,0.4700036292457355,0.8754687373538999
Aaron Gordon,27.0,68.0,68.0,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,2023,48.42382502522351,0.616303224211113,1.232606448422226,0.4107139190054295,0.2232140864159943,2.1428418368440227,9.573297611257104,21.85429739923927,0.026490057453623362,0.026490057453623362,2.649005745362336,2.649005745362336,0.6423838932503666,0.06291388645235547,17.624,1.415,2.8507065015037334,1.3862943611198906,2.028148247292285,0.5877866649021191,0.5877866649021191,0.8754687373538999
Aaron Gordon,26.0,75.0,75.0,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2.0,15.0,2022,44.99683123128353,0.6017325082377181,1.2034650164754361,0.27927902767655166,0.3153150312477196,1.388881172882373,12.619172308488286,18.611981510415927,0.01892743882415179,0.01892743882415179,1.8927438824151792,1.8927438824151792,0.5268137139388915,0.06309146274717263,16.764,1.25,2.772588722239781,1.252762968495368,1.9315214116032138,0.4700036292457355,0.4700036292457355,1.0296194171811583
