,Player,Actual_PTS,Predicted_PTS,Actual_AST
0,A.J. Green,4.5,8.799495,0.5
2,A.J. Lawson,3.2,8.717085,0.5
5,AJ Griffin,2.4,8.653312,0.3
13,Aaron Gordon,13.9,9.711337,3.5
21,Aaron Holiday,6.6,9.022082,1.8
23,Aaron Nesmith,12.2,9.583531,1.5
27,Aaron Wiggins,6.9,9.07299,1.1
40,Admiral Schofield,1.1,8.547541,0.3
47,Al Horford,8.6,9.283422,2.6
60,Alec Burks,10.4,9.266122,1.3
70,Aleksej Pokusevski,5.2,8.859558,1.3
81,Alex Caruso,10.1,9.341263,3.5
82,Alex Fudge,2.5,8.689671,0.0
89,Alex Len,2.5,8.689671,1.0
108,Alondes Williams,0.7,8.547541,0.0
110,Alperen Şengün,21.1,10.581628,5.0
112,Amari Bailey,2.3,8.572678,0.7
113,Amen Thompson,9.5,9.360886,2.6
119,Amir Coffey,6.6,9.0187235,1.1
127,Andre Drummond,8.4,9.294576,0.5
140,Andre Jackson Jr.,2.2,8.653312,0.9
149,Andrew Nembhard,9.2,9.25159,4.1
154,Andrew Wiggins,13.2,9.605794,1.7
159,Anfernee Simons,22.6,10.319474,5.5
168,Anthony Black,4.6,8.825697,1.3
176,Anthony Davis,24.7,11.00524,3.5
180,Anthony Edwards,25.9,11.00524,5.1
181,Anthony Gill,3.8,8.799495,0.7
199,Armoni Brooks,4.2,8.806632,0.5
208,Ashton Hagans,4.2,8.806632,2.8
209,Ausar Thompson,8.8,9.25159,1.9
211,Austin Reaves,15.9,9.811126,5.5
225,Ayo Dosunmu,12.2,9.605794,3.2
231,Bam Adebayo,19.3,10.579048,3.9
244,Ben Sheppard,4.4,8.806632,0.9
251,Bennedict Mathurin,14.5,9.711337,2.0
253,Bilal Coulibaly,8.4,9.224916,1.7
268,Blake Wesley,4.4,8.825697,2.7
275,Boban Marjanović,3.2,8.717085,0.4
281,Bobby Portis,13.8,9.748871,1.3
290,Bogdan Bogdanović,16.9,9.970764,3.1
297,Bojan Bogdanović,15.2,9.773139,1.7
302,Bol Bol,5.2,8.945572,0.4
304,Bones Hyland,6.9,9.097427,2.5
314,Bradley Beal,18.2,10.050745,5.0
320,Brandin Podziemski,9.2,9.2539,3.7
323,Brandon Boston Jr.,5.2,8.894864,0.4
326,Brandon Clarke,11.3,9.547547,1.5
334,Brandon Ingram,20.8,10.579048,5.7
344,Brandon Miller,17.3,10.050745,2.4
348,Brandon Williams,3.2,8.689671,1.0
351,Braxton Key,1.1,8.547541,0.5
356,Brice Sensabaugh,7.5,9.112612,1.7
363,Brook Lopez,12.5,9.605794,1.6
368,Bruce Brown,10.8,9.422426,2.9
376,Bruno Fernando,6.3,9.005699,1.0
381,Bryce McGowens,5.1,8.832834,0.9
390,Buddy Boeheim,3.4,8.653312,0.3
395,Buddy Hield,12.1,9.567439,2.8
412,CJ McCollum,20.0,10.257751,4.6
414,Cade Cunningham,22.7,10.581628,7.5
416,Caleb Houstan,4.3,8.774684,0.5
421,Caleb Martin,10.0,9.2539,2.2
427,Cam Reddish,5.4,8.891973,1.0
433,Cam Thomas,22.5,10.579048,2.9
434,Cam Whitmore,12.3,9.583531,0.7
439,Cameron Johnson,13.4,9.605794,2.4
444,Cameron Payne,7.4,9.112612,2.6
456,Caris LeVert,14.0,9.814649,5.1
469,Cason Wallace,6.8,9.080012,1.5
478,Cedi Osman,6.8,9.097427,1.7
492,Charles Bassey,3.3,8.799495,1.1
508,Chet Holmgren,16.5,10.014136,2.4
514,Chimezie Metu,6.5,8.98274,0.9
517,Chris Boucher,6.4,9.002883,0.5
530,Chris Duarte,3.9,8.774684,0.7
532,Chris Livingston,1.2,8.547541,0.2
536,Chris Paul,9.2,9.2539,6.8
545,Christian Braun,7.3,9.07299,1.6
549,Christian Wood,6.9,9.048883,1.0
555,Chuma Okeke,2.3,8.653312,0.4
563,Clint Capela,11.5,9.503438,1.2
566,Coby White,19.1,10.095887,5.1
572,Cody Martin,7.5,9.179165,3.7
576,Cody Zeller,1.8,8.547541,0.9
582,Colby Jones,2.1,8.653312,0.7
586,Cole Anthony,11.6,9.475245,2.9
588,Cole Swider,2.3,8.572678,0.3
591,Collin Gillespie,3.6,8.717085,1.1
593,Collin Sexton,18.7,10.201596,4.9
601,Corey Kispert,13.4,9.605794,2.0
604,Cory Joseph,2.4,8.653312,1.6
614,Craig Porter Jr.,5.6,8.945572,2.3
620,D'Angelo Russell,18.0,10.050745,6.3
627,D'Moi Hodge,2.0,8.572678,0.7
633,D.J. Carton,2.8,8.572678,0.8
644,DaQuan Jeffries,0.8,8.547541,0.3
648,Daishen Nix,1.8,8.547541,0.4
652,Dalano Banton,10.3,9.404277,2.4
656,Dalen Terry,3.1,8.689671,1.4
660,Damian Jones,2.7,8.689671,0.4
668,Damian Lillard,24.3,10.579048,7.0
696,Daniel Theis,6.3,9.038929,1.0
700,Danilo Gallinari,5.7,9.017919,1.1
715,Dante Exum,7.8,9.138524,2.9
724,Danuel House Jr.,4.2,8.774684,0.8
726,Dario Šarić,8.0,9.138405,2.3
732,Dariq Whitehead,1.5,8.547541,1.5
735,Darius Bazley,5.3,8.894864,0.8
739,Darius Garland,18.0,10.068492,6.5
755,David Duke Jr.,6.5,9.038005,1.3
764,David Roddy,6.5,9.037598,1.2
769,Davion Mitchell,5.3,8.897824,1.9
775,Day'Ron Sharpe,6.8,9.06577,1.4
780,De'Aaron Fox,26.6,11.00524,5.6
786,De'Andre Hunter,15.6,9.811126,1.5
793,De'Anthony Melton,11.1,9.406098,3.0
809,DeJon Jarreau,4.8,8.889012,2.9
814,DeMar DeRozan,24.0,10.581628,5.3
829,Dean Wade,5.4,8.859558,0.8
830,Deandre Ayton,16.7,10.319474,1.6
843,Dejounte Murray,22.5,10.322054,6.4
850,Delon Wright,4.5,8.806632,2.5
856,Deni Avdija,14.7,9.711337,3.8
862,Dennis Schröder,14.0,9.728847,6.1
868,Dennis Smith Jr.,6.6,9.038929,3.6
879,Dereck Lively II,8.8,9.349365,1.1
880,Dereon Seabron,2.3,8.572678,0.8
890,Derrick Jones Jr.,8.6,9.228844,1.0
897,Derrick Rose,8.0,9.103209,3.3
905,Derrick White,15.2,9.728847,5.2
914,Desmond Bane,23.7,10.322054,5.5
916,Devin Booker,27.1,11.00524,6.9
931,Devin Vassell,19.5,10.257751,4.1
943,Devonte' Graham,5.0,8.832834,2.1
953,Dexter Dennis,5.5,9.01726,1.0
959,Dillon Brooks,12.7,9.605794,1.7
971,Domantas Sabonis,19.4,10.565871,8.2
979,Dominick Barlow,4.4,8.825697,1.1
981,Donovan Mitchell,26.6,11.00524,6.1
996,Donte DiVincenzo,15.5,9.858941,2.7
1000,Dorian Finney-Smith,8.5,9.203093,1.6
1006,Doug McDermott,5.5,8.891973,1.1
1018,Draymond Green,8.6,9.25159,6.0
1027,Drew Eubanks,5.1,8.894864,0.8
1029,Dru Smith,4.3,8.832834,1.6
1035,Duncan Robinson,12.9,9.567439,2.8
1039,Duop Reath,9.1,9.2539,1.0
1052,Dwight Powell,3.3,8.689671,1.3
1066,Dyson Daniels,5.8,8.957023,2.7
1071,Dāvis Bertāns,6.7,8.977925,0.8
1080,E.J. Liddell,0.5,8.547541,0.1
1110,Emoni Bates,2.7,8.689671,0.7
1125,Eric Gordon,11.0,9.457181,2.0
1140,Eugene Omoruyi,4.8,8.889012,0.8
1146,Evan Fournier,6.9,9.0731125,1.5
1151,Evan Mobley,15.7,9.942474,3.2
1181,Frank Ntilikina,1.0,8.547541,0.8
1182,Franz Wagner,19.7,10.460606,3.7
1185,Fred VanVleet,17.4,10.008751,8.1
1200,Furkan Korkmaz,2.5,8.653312,0.7
1201,GG Jackson II,14.6,9.728847,1.2
1206,Gabe Vincent,3.1,8.781821,1.9
1212,Garrett Temple,3.3,8.689671,1.0
1222,Garrison Mathews,4.9,8.799495,0.6
1228,Gary Harris,6.9,9.037823,1.6
1237,Gary Payton II,5.5,8.945572,1.1
1247,Gary Trent Jr.,13.7,9.728847,1.7
1262,Georges Niang,9.4,9.341263,1.2
1271,Giannis Antetokounmpo,30.4,11.00524,6.5
1280,Goga Bitadze,5.0,8.894864,1.3
1293,Gordon Hayward,9.8,9.294576,3.1
1303,Gradey Dick,8.5,9.203093,1.1
1309,Grant Williams,10.3,9.339441,2.3
1311,Grayson Allen,13.5,9.583531,3.0
1316,Greg Brown III,2.5,8.572678,0.7
1325,Gui Santos,3.6,8.689671,0.6
1336,Harrison Barnes,12.2,9.526665,1.2
1342,Harry Giles,2.4,8.689671,0.3
1351,Haywood Highsmith,6.1,8.969435,1.1
1353,Henri Drell,2.8,8.689671,1.0
1358,Herbert Jones,11.0,9.526665,2.6
1377,Immanuel Quickley,17.0,10.008751,4.9
1387,Isaac Okoro,9.4,9.2539,1.9
1396,Isaiah Hartenstein,7.8,9.1807165,2.5
1402,Isaiah Jackson,6.5,9.06577,0.8
1405,Isaiah Joe,8.2,9.145307,1.3
1408,Isaiah Livers,5.0,8.832834,1.1
1412,Isaiah Mobley,2.3,8.689671,0.6
1420,Isaiah Stewart,10.9,9.457181,1.6
1437,Ish Smith,3.2,8.806632,3.4
1441,Ish Wainright,2.1,8.547541,0.1
1460,JD Davison,2.0,8.547541,1.3
1467,JT Thor,3.2,8.717085,0.5
