Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
LeBron James,33,CLE,PF,82,82,3026,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2,16.1,31.6,11,3,14,0.221,7.3,1.4,8.7,8.2
Khris Middleton,26,MIL,SF,82,82,2982,17.4,0.577,0.32,0.285,1.8,15,8.4,17.7,2,0.6,11.8,24.6,4.6,2.3,6.9,0.111,0.8,-0.8,0,1.5
Andrew Wiggins,22,MIN,SF,82,82,2979,13,0.505,0.26,0.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,0.033,-0.8,-1.7,-2.4,-0.3
Bradley Beal,24,WAS,SG,82,82,2977,18.4,0.564,0.357,0.249,2.3,11.5,6.9,21,1.6,1.1,11.5,27.6,4.4,2.5,6.9,0.111,2.9,-0.7,2.2,3.1
Jrue Holiday,27,NOP,SG,81,81,2927,17.8,0.57,0.286,0.191,2.4,10.8,6.8,24.9,2,1.7,13.6,23.1,4.2,2.9,7.1,0.116,1.3,0.3,1.6,2.7
CJ McCollum,26,POR,SG,81,81,2923,16.9,0.536,0.316,0.166,2,9.9,6,15.8,1.3,1,8.6,26.5,3.7,2.9,6.6,0.108,1.8,-0.5,1.2,2.4
Karl-Anthony Towns,22,MIN,C,82,82,2918,24.9,0.646,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9,10.6,3.4,14,0.23,4.9,0.2,5.1,5.2
Russell Westbrook,29,OKC,PG,80,80,2914,24.7,0.524,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,5.5,4.5,10.1,0.166,4.8,1.5,6.3,6.1
Paul George,27,OKC,SF,79,79,2891,18.7,0.57,0.454,0.307,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,5,3.9,8.9,0.147,2.3,0.6,2.9,3.6
Giannis Antetokounmpo,23,MIL,PF,75,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7
Kemba Walker,27,CHO,PG,80,80,2736,20.6,0.572,0.441,0.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,6.5,2,8.6,0.15,4.7,-0.7,4,4.2
Ben Simmons,21,PHI,PG,81,81,2732,20,0.557,0.011,0.342,5.9,19.5,13,37.4,2.5,2.1,19.5,22.3,4.2,5,9.2,0.162,2,2.5,4.5,4.5
