Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
James Harden,30,68,68,36.5,9.9,22.3,0.444,4.4,12.4,0.355,5.5,9.9,0.556,0.543,10.2,11.8,0.865,1,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3
Bradley Beal,26,57,57,36,10.4,22.9,0.455,3,8.4,0.353,7.4,14.4,0.515,0.52,6.8,8,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
Damian Lillard,29,66,66,37.5,9.5,20.4,0.463,4.1,10.2,0.401,5.4,10.2,0.524,0.563,7,7.8,0.888,0.5,3.8,4.3,8,1.1,0.3,2.9,1.7,30
Trae Young,21,60,60,35.3,9.1,20.8,0.437,3.4,9.5,0.361,5.7,11.4,0.501,0.519,8,9.3,0.86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6
Giannis Antetokounmpo,25,63,63,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15,0.631,0.589,6.3,10,0.633,2.2,11.4,13.6,5.6,1,1,3.7,3.1,29.5
Luka Dončić,20,61,61,33.6,9.5,20.6,0.463,2.8,8.9,0.316,6.7,11.7,0.574,0.531,7,9.2,0.758,1.3,8.1,9.4,8.8,1,0.2,4.3,2.5,28.8
Kyrie Irving,27,20,20,32.9,10,20.8,0.478,2.8,7.1,0.394,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4
Russell Westbrook,31,57,57,35.9,10.6,22.5,0.472,1,3.7,0.258,9.6,18.7,0.514,0.493,5.1,6.7,0.763,1.8,6.2,7.9,7,1.6,0.4,4.5,3.5,27.2
Kawhi Leonard,28,57,57,32.4,9.3,19.9,0.47,2.2,5.7,0.378,7.2,14.2,0.506,0.524,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2,27.1
Devin Booker,23,70,70,35.9,9,18.3,0.489,2,5.7,0.354,6.9,12.6,0.549,0.544,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3,26.6
Karl-Anthony Towns,24,35,35,33.9,9,17.8,0.508,3.3,7.9,0.412,5.8,9.9,0.586,0.6,5.1,6.5,0.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5
Anthony Davis,26,62,62,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7,9.3,3.2,1.5,2.3,2.5,2.5,26.1
Zach LaVine,24,60,60,34.8,9,20,0.45,3.1,8.1,0.38,5.9,11.9,0.497,0.526,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5
LeBron James,35,67,67,34.6,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3
Donovan Mitchell,23,69,69,34.3,8.7,19.4,0.449,2.5,6.9,0.366,6.2,12.6,0.494,0.513,4,4.7,0.863,0.8,3.6,4.4,4.3,1,0.2,2.7,2.5,24
Brandon Ingram,22,62,62,33.9,8.2,17.7,0.463,2.4,6.2,0.391,5.8,11.5,0.501,0.531,5,5.9,0.851,0.8,5.3,6.1,4.2,1,0.6,3,2.9,23.8
Jayson Tatum,21,66,66,34.3,8.4,18.6,0.45,2.9,7.1,0.403,5.5,11.5,0.48,0.527,3.8,4.7,0.812,1,6,7,3,1.4,0.9,2.3,2.1,23.4
D'Angelo Russell,23,45,45,32.3,8,18.8,0.426,3.5,9.6,0.367,4.5,9.2,0.487,0.519,3.6,4.4,0.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1
D'Angelo Russell,23,33,33,32.1,8.3,19.2,0.43,3.6,9.7,0.374,4.6,9.5,0.487,0.524,3.4,4.4,0.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6
D'Angelo Russell,23,12,12,32.7,7.3,17.6,0.412,3.2,9.2,0.345,4.1,8.4,0.485,0.502,4,4.6,0.873,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8,21.7
Joel Embiid,25,51,51,29.5,7.5,15.7,0.477,1.1,3.4,0.331,6.4,12.3,0.517,0.512,6.9,8.5,0.807,2.8,8.9,11.6,3,0.9,1.3,3.1,3.4,23
Pascal Siakam,25,60,60,35.2,8.3,18.4,0.453,2.2,6.1,0.359,6.2,12.3,0.499,0.512,4,5.1,0.792,1.1,6.3,7.3,3.5,1,0.9,2.5,2.8,22.9
Zion Williamson,19,24,24,27.8,8.8,15,0.583,0.3,0.6,0.429,8.5,14.4,0.59,0.592,4.8,7.4,0.64,2.7,3.6,6.3,2.1,0.7,0.4,2.5,1.8,22.5
CJ McCollum,28,70,70,36.5,8.7,19.4,0.451,2.8,7.3,0.379,6,12.1,0.494,0.522,2,2.6,0.757,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,22.2
DeMar DeRozan,30,68,68,34.1,8.2,15.4,0.531,0.1,0.5,0.257,8.1,14.9,0.54,0.535,5.6,6.6,0.845,0.6,4.9,5.5,5.6,1,0.3,2.4,2.6,22.1
Andrew Wiggins,24,54,54,34.4,8.1,18.1,0.447,2.1,6.2,0.332,6,11.9,0.506,0.504,3.5,5,0.709,1.2,3.9,5.1,3.7,0.8,1,2.4,2.4,21.8
Andrew Wiggins,24,42,42,34.6,8.4,18.8,0.444,2.2,6.5,0.331,6.2,12.3,0.505,0.502,3.5,4.9,0.72,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4
Andrew Wiggins,24,12,12,33.6,7.2,15.7,0.457,1.7,4.9,0.339,5.5,10.8,0.512,0.511,3.4,5.1,0.672,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4
John Collins,22,41,41,33.2,8.6,14.8,0.583,1.4,3.6,0.401,7.2,11.2,0.642,0.632,2.9,3.7,0.8,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6
Paul George,29,48,48,29.6,7.1,16.3,0.439,3.3,7.9,0.412,3.9,8.4,0.464,0.539,4,4.5,0.876,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5
De'Aaron Fox,22,51,49,32,7.7,16,0.48,1.1,3.6,0.292,6.6,12.4,0.535,0.513,4.7,6.7,0.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1
Khris Middleton,28,62,59,29.9,7.6,15.3,0.497,2.4,5.7,0.415,5.2,9.6,0.546,0.575,3.4,3.7,0.916,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9
Stephen Curry,31,5,5,27.8,6.6,16.4,0.402,2.4,9.8,0.245,4.2,6.6,0.636,0.476,5.2,5.2,1,0.8,4.4,5.2,6.6,1,0.4,3.2,2.2,20.8
Collin Sexton,21,65,65,33,7.9,16.7,0.472,1.5,3.9,0.38,6.4,12.8,0.501,0.517,3.5,4.1,0.846,0.9,2.2,3.1,3,1,0.1,2.4,2.2,20.8
Spencer Dinwiddie,26,64,49,31.2,6.6,16,0.415,1.9,6.3,0.308,4.7,9.7,0.485,0.476,5.4,7,0.778,0.5,3,3.5,6.8,0.6,0.3,2.7,2.8,20.6
Kristaps Porziņģis,24,57,57,31.8,7,16.4,0.427,2.5,7.1,0.352,4.5,9.3,0.484,0.503,4,5,0.799,1.8,7.7,9.5,1.8,0.7,2,1.6,3.2,20.4
Kemba Walker,29,56,56,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.864,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4
Jaylen Brown,23,57,57,33.9,7.5,15.6,0.481,2.3,5.9,0.382,5.2,9.6,0.543,0.554,3.1,4.3,0.724,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3
Bojan Bogdanović,30,63,63,33.1,6.6,14.8,0.447,3,7.3,0.414,3.6,7.6,0.479,0.548,4,4.4,0.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2
Jimmy Butler,30,58,58,33.8,5.9,13.1,0.455,0.5,2.1,0.244,5.4,11,0.495,0.474,7.6,9.1,0.834,1.8,4.8,6.7,6,1.8,0.6,2.2,1.4,19.9
Nikola Jokić,24,73,73,32,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,2.3,7.5,9.7,7,1.2,0.6,3.1,3,19.9
T.J. Warren,26,67,67,32.9,8,14.9,0.536,1.4,3.4,0.403,6.6,11.5,0.575,0.581,2.5,3,0.819,1,3.2,4.2,1.5,1.2,0.5,1.3,2.8,19.8
Tobias Harris,27,72,72,34.3,7.7,16.3,0.471,1.8,5,0.367,5.9,11.3,0.517,0.527,2.4,3,0.806,1,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6
Nikola Vučević,29,62,62,32.2,8,16.7,0.477,1.6,4.7,0.339,6.4,12,0.531,0.525,2.1,2.7,0.784,2.3,8.6,10.9,3.6,0.9,0.8,1.4,2.2,19.6
Julius Randle,25,64,64,32.5,7.2,15.7,0.46,1,3.6,0.277,6.2,12.1,0.515,0.492,4,5.5,0.733,2.4,7.4,9.7,3.1,0.8,0.3,3,2.8,19.5
Kyle Lowry,33,58,58,36.2,5.8,13.8,0.416,2.8,8,0.352,2.9,5.8,0.504,0.518,5.1,5.9,0.857,0.6,4.5,5,7.5,1.4,0.4,3.1,3.3,19.4
Buddy Hield,27,72,44,30.8,6.9,16.1,0.429,3.8,9.6,0.394,3.2,6.6,0.479,0.545,1.6,1.9,0.846,0.8,3.8,4.6,3,0.9,0.2,2.3,2.3,19.2
Jrue Holiday,29,61,61,34.7,7.5,16.5,0.455,2,5.7,0.353,5.5,10.8,0.509,0.516,2.1,3,0.709,1.3,3.5,4.8,6.7,1.6,0.8,3,2.4,19.1
Shai Gilgeous-Alexander,21,70,70,34.7,6.8,14.5,0.471,1.2,3.6,0.347,5.6,10.9,0.512,0.514,4.1,5.1,0.807,0.7,5.2,5.9,3.3,1.1,0.7,1.9,1.7,19
LaMarcus Aldridge,34,53,53,33.1,7.4,15,0.493,1.2,3,0.389,6.2,12,0.519,0.532,3,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
Dennis Schröder,26,65,2,30.8,7,14.8,0.469,1.9,5,0.385,5,9.8,0.513,0.534,3,3.6,0.839,0.3,3.3,3.6,4,0.7,0.2,2.6,2.2,18.9
