,Player,Year,WS_pred
0,Shai Gilgeous-Alexander,2026,14.368546
1,Giannis Antetokounmpo,2026,10.985697
2,Nikola Jokić,2026,14.880976
3,Luka Dončić,2026,7.4226184
4,Anthony Edwards,2026,8.455515
5,Jayson Tatum,2026,8.161487
6,Kevin Durant,2026,6.7244396
7,Tyrese Maxey,2026,4.4258466
8,Cade Cunningham,2026,7.8605022
9,Jalen Brunson,2026,7.1704803
10,Paolo Banchero,2026,4.3971033
11,Devin Booker,2026,4.7500286
12,LaMelo Ball,2026,4.230875
13,Damian Lillard,2026,6.592279
14,Anthony Davis,2026,6.0982537
15,Kyrie Irving,2026,5.241138
16,Zion Williamson,2026,3.789925
17,Stephen Curry,2026,8.529376
18,LeBron James,2026,8.119787
19,Karl-Anthony Towns,2026,9.374185
20,Victor Wembanyama,2026,6.2390056
21,Franz Wagner,2026,6.0256658
22,Trae Young,2026,5.1396127
23,Donovan Mitchell,2026,7.5323043
24,Cam Thomas,2026,0.9377834
25,Tyler Herro,2026,7.4584355
26,Joel Embiid,2026,2.1367276
27,De'Aaron Fox,2026,3.978574
28,Zach LaVine,2026,4.72347
29,Ja Morant,2026,3.8946228
30,James Harden,2026,8.56856
31,Jaylen Brown,2026,3.6427472
32,DeMar DeRozan,2026,4.7391887
33,Brandon Ingram,2026,0.7800408
34,Jaren Jackson Jr.,2026,6.3273873
35,Norman Powell,2026,4.5909276
36,Jalen Williams,2026,7.528398
37,Kawhi Leonard,2026,2.8971698
38,Jamal Murray,2026,5.230186
39,Trey Murphy III,2026,3.4653404
40,RJ Barrett,2026,3.3749785
41,CJ McCollum,2026,1.6236938
42,Jalen Green,2026,4.959326
43,Brandon Miller,2026,0.9112653
44,Darius Garland,2026,6.0117717
45,Jordan Poole,2026,4.086226
46,Coby White,2026,3.3364255
47,Miles Bridges,2026,5.2515054
48,Austin Reaves,2026,6.2018766
49,Pascal Siakam,2026,7.0696907
50,Kristaps Porziņģis,2026,4.609042
51,Scottie Barnes,2026,5.5694194
52,Anfernee Simons,2026,4.1837606
53,Desmond Bane,2026,6.74821
54,Domantas Sabonis,2026,8.621182
55,Alperen Şengün,2026,8.094223
56,John Collins,2026,2.3936982
57,Lauri Markkanen,2026,2.7681968
58,Jalen Johnson,2026,2.7769806
59,Cameron Johnson,2026,5.478479
60,Julius Randle,2026,5.3937836
61,Tyrese Haliburton,2026,8.100097
62,Evan Mobley,2026,8.7071705
63,Shaedon Sharpe,2026,2.56527
64,Nikola Vučević,2026,7.8599834
65,Collin Sexton,2026,2.626302
66,Michael Porter Jr.,2026,4.5650434
67,Bam Adebayo,2026,8.116226
68,Andrew Wiggins,2026,3.9298933
69,OG Anunoby,2026,5.5856724
70,Mikal Bridges,2026,4.5861306
71,Jaden Ivey,2026,1.447554
72,Jimmy Butler,2026,6.9431252
73,Dejounte Murray,2026,1.1873366
74,Malik Monk,2026,2.4946969
75,Immanuel Quickley,2026,2.2430754
76,De'Andre Hunter,2026,3.634805
77,Bradley Beal,2026,2.1203852
78,Deni Avdija,2026,5.8221636
79,Keyonte George,2026,1.6449904
80,Ivica Zubac,2026,9.727132
81,Derrick White,2026,8.481298
82,Malik Beasley,2026,4.821451
83,Devin Vassell,2026,2.115687
84,Jordan Clarkson,2026,0.9841252
85,Paul George,2026,2.1816113
86,Jalen Suggs,2026,1.4892156
87,Bennedict Mathurin,2026,1.8582369
88,Myles Turner,2026,5.115155
89,Christian Braun,2026,6.0207396
90,Jonathan Kuminga,2026,2.1720338
91,Jared McCain,2026,0.8099389
92,Mark Williams,2026,4.4057283
93,Kelly Oubre Jr.,2026,1.8433584
94,Chet Holmgren,2026,2.5965445
95,Kyle Kuzma,2026,0.54846203
96,Stephon Castle,2026,1.695567
97,Aaron Gordon,2026,3.1606457
98,P.J. Washington,2026,3.0666218
99,Quentin Grimes,2026,4.385064
100,Josh Giddey,2026,6.80932
101,Jakob Poeltl,2026,5.259967
102,Deandre Ayton,2026,2.2236707
103,Gradey Dick,2026,1.192015
104,Jerami Grant,2026,1.6690706
105,Payton Pritchard,2026,6.61745
106,Naz Reid,2026,5.60392
107,Dyson Daniels,2026,5.9798822
108,Tre Mann,2026,0.113317974
109,Amen Thompson,2026,7.292587
110,Fred VanVleet,2026,4.156169
111,Dillon Brooks,2026,3.8631902
112,Tolu Smith,2026,0.14723654
113,Klay Thompson,2026,3.467264
114,Bobby Portis,2026,3.3248398
115,Tobias Harris,2026,4.7333436
